experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,2,4,1,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.6,2.56,3,1.06572463799997,0.010339067882071,0.5066942062716,-0,-0.189535844110521,-0.381705312720893,-0.686086030324754,0
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,1,2,2,memory,decision_then_confidence,MF_TU,fixed,unconstrained,0.66,2.9,3,1.3575004129999,0.126646227697565,0.836188610407016,-0.164747202067708,1.41987065926958,1.73504256732711,0.601521480979998,1
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,3,8,2,memory,confidence_then_decision,MR_TC,randomised,constrained,0.73,2.68,3,1.4369029920001,0.152543972115413,1.25408436301432,0.214579052065755,1.05618748909519,0.862399393084034,-0.168520572581602,1
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,2,6,3,memory,decision_and_confidence,MR_TC,randomised,constrained,0.74,2.65,3,1.27207537200001,0.0906385024879452,1.2891440701113,0.0617305277844357,1.15780158186536,0.91883831161742,-0.102269496175885,1
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,1,1,1,memory,decision_then_confidence,MR_TC,randomised,constrained,0.54,2.61,3,1.66312855899996,0.217502467931552,0.20086744102294,-6.24500451351651e-17,0.399623802849614,2.02941272311237,0.202707819078339,0
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,3,7,1,memory,confidence_then_decision,MR_TU,randomised,unconstrained,0.72,2.41,2,1.544574775,0.184214381125126,1.18465634363009,-0.17986504237364,0.0735610978716381,0.0635408602853001,-1.08413644574592,1
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,2,5,2,memory,decision_and_confidence,MR_TU,randomised,unconstrained,0.65,2.99,3,1.50201637500001,0.161458845368702,0.773179587213906,0.0811090055075555,-0.168457701408338,-0.222486606746171,-0.925616542886501,1
報告順序と記憶メタ認知: 2.0,experiment2,003_YH,1,booth 6,1,3,3,memory,decision_then_confidence,MR_TU,randomised,unconstrained,0.72,2.97,3,1.62869964299975,0.208529913416346,1.1740013619546,-0.11930188186279,0.791654537707841,0.68968530722482,-0.356194386163437,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,3,7,1,memory,confidence_then_decision,MF_TU,fixed,unconstrained,0.66,2.44,2,1.79852734299991,0.227160511285455,0.829881300807438,-0.109459862304322,1.16373730237816,1.43235980806514,0.351275729646547,1
報告順序と記憶メタ認知: 2.0,experiment2,004_KO,1,booth 6,2,5,2,memory,decision_and_confidence,MF_TU,fixed,unconstrained,0.797979797979798,2.75757575757576,3,1.59434789090914,0.157452351841831,1.68509133732246,-0.151912214548523,1.29577127936669,0.789184693780188,-0.346140036931091,1
