experiment,version,subjID,completed,system,day,overall_block,block,domain_type,response_type,motor_time_type,motor_condition,time_condition,mean_accuracy,mean_confidence,median_confidence,mean_total_RT,mean_log_RT,sensitivity,criterion,metad,efficiency,m_difference,include_block
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,3,8,2,perception,confidence_then_decision,MF_TU,fixed,unconstrained,0.7,3.46,3,0.947740120000162,-0.047457443534688,1.11725856698467,0.356735804350482,0.232265798076724,0.213167875125222,-0.857325201225041,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,2,6,3,perception,decision_and_confidence,MF_TU,fixed,unconstrained,0.77,3.32,3,1.22277361900009,0.0407337827206102,1.51885839591779,-0.235028685250856,0.71487006596819,0.482832327219207,-0.765706162399463,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,1,1,1,perception,decision_then_confidence,MF_TU,fixed,unconstrained,0.53,3.5,4,1.08958878200003,0.0168540582218536,0.151739895677117,-0.126023531303292,0.270858708385667,1.82135448681484,0.122145917796867,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,3,9,3,perception,confidence_then_decision,MR_TC,randomised,constrained,0.696969696969697,3.1010101010101,3,1.55627793636402,0.185032696778008,1.03694382118984,0.124873494797997,0.435828228150087,0.42971565867845,-0.578396455889671,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,2,4,1,perception,decision_and_confidence,MR_TC,randomised,constrained,0.93,3.92,4,1.378938267,0.12673889224533,3.22873570269791,-0.439381059282866,3.18598752004349,1.05216391577001,0.15795408124999,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,1,2,2,perception,decision_then_confidence,MR_TC,randomised,constrained,0.848484848484849,3.58585858585859,4,1.53869622727283,0.181975429307377,2.16636642305781,0.31098999734022,1.55529016136324,0.742546183447096,-0.539246442600126,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,3,7,1,perception,confidence_then_decision,MR_TU,randomised,unconstrained,0.8,3.81,4,1.46949127999957,0.158557862904977,1.72366474620787,-0.21848696771102,0.956391863294544,0.569947296949811,-0.721643752301618,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,2,5,2,perception,decision_and_confidence,MR_TU,randomised,unconstrained,0.75,3.13,3,1.49028345300014,0.150616725245795,1.48046758016549,-0.434753001983346,0.641221972192902,0.445964960214804,-0.796608416732834,1
報告順序と知覚メタ認知: 1.0,experiment1,001_SO,1,booth 6,1,3,3,perception,decision_then_confidence,MR_TU,randomised,unconstrained,0.67,3.26,3,1.50891005999974,0.171016767745746,0.882859305959234,-0.0829708597284234,0.506662423391351,0.586221133083372,-0.357623073664065,1
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,3,8,2,perception,confidence_then_decision,MF_TU,fixed,unconstrained,0.94,3.02,3,1.09236164599424,0.0195734698058225,3.50133466610693,0.575680540987376,3.21002140860613,0.924467573395995,-0.262270644661074,0
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,2,6,3,perception,decision_and_confidence,MF_TU,fixed,unconstrained,0.61,1.74,2,0.798739893004531,-0.13317383672413,1.55415465985216,1.54927054411476,0.895824703325983,0.566982323750314,-0.684162301208012,1
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,1,1,1,perception,decision_then_confidence,MF_TU,fixed,unconstrained,0.5,2.55,3,1.77801705299818,0.236679997941433,0,2.32634787404084,1e-08,1,0,0
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,3,7,1,perception,confidence_then_decision,MR_TC,randomised,constrained,0.5,2.06,2,1.69799533402314,0.225454438646112,0,2.32634787404084,9.84751431271562e-09,0.984751431271562,-1.52485687284376e-10,0
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,2,5,2,perception,decision_and_confidence,MR_TC,randomised,constrained,0.56,3.39,4,1.41440755399293,0.136149521373203,0.973429569816867,1.56703412572339,0.916317470257443,1.09036273804257,0.0759389078879833,1
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,1,3,3,perception,decision_then_confidence,MR_TC,randomised,constrained,0.98,2.52,3,1.65028398900176,0.21296661508192,4.07703394529301,-0.287830901394335,-0.103113552051471,-0.0258546378612674,-4.09131685254886,0
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,3,9,3,perception,confidence_then_decision,MR_TU,randomised,unconstrained,1,3.95,4,1.57979715199675,0.19215170427174,4.65269574808168,2.22044604925031e-16,4.47479696951881,0.958706235447661,-0.192740180095467,0
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,2,4,1,perception,decision_and_confidence,MR_TU,randomised,unconstrained,0.53,1.72,2,1.99244229599717,0.274465531644942,0.170378377829811,-0.497652318356311,0.0610451849177778,0.367392143799013,-0.105112926920274,1
報告順序と知覚メタ認知: 1.0,experiment1,002_HS,1,booth 9,1,2,2,perception,decision_then_confidence,MR_TU,randomised,unconstrained,0.5,1.92,2,2.06556296399329,0.302769846852682,0,2.32634787404084,1e-08,1,0,0
報告順序と知覚メタ認知: 1.0,experiment1,003_KS,1,booth 9,3,9,3,perception,confidence_then_decision,MF_TU,fixed,unconstrained,0.78,1.92,2,0.98923415100202,-0.0209114128320231,1.55871049323573,0.136009841224949,0.293313456075722,0.192891581849472,-1.22729959122987,1
報告順序と知覚メタ認知: 1.0,experiment1,003_KS,1,booth 9,2,4,1,perception,decision_and_confidence,MF_TU,fixed,unconstrained,0.888888888888889,2.21212121212121,2,1.4214857181727,0.081132830724301,2.44499520713623,0.0475108115020227,-0.0301285424085115,-0.0127390634638425,-2.39518014090519,1
