block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,Staircase_number,staircase output coherence,sub,age,gender,handedness,
0,Staircase,47,1.3722669000271708,['e'],1,0,,0.8583333333333333,0,,0,30,Man,Right,
0,Staircase,48,0.5004309001378715,['q'],1,180,,0.6166666666666667,0,,0,30,Man,Right,
0,Staircase,49,0.5276917000301182,['e'],1,0,,0.9,0,,0,30,Man,Right,
0,Staircase,50,0.5188116000499576,['e'],1,0,,0.4166666666666667,0,,0,30,Man,Right,
0,Staircase,51,0.48204610007815063,['q'],1,180,,1.0,0,,0,30,Man,Right,
0,Staircase,52,0.4930650000460446,['e'],1,0,,0.19166666666666668,0,,0,30,Man,Right,
0,Staircase,53,0.48336909990757704,['e'],1,0,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,54,0.5475614999886602,['q'],1,180,,0.13333333333333333,0,,0,30,Man,Right,
0,Staircase,55,0.4878547000698745,['e'],1,0,,0.675,0,,0,30,Man,Right,
0,Staircase,56,1.3186427999753505,['q'],1,180,,0.10833333333333334,0,,0,30,Man,Right,
0,Staircase,57,0.6544232999440283,['q'],1,180,,0.575,0,,0,30,Man,Right,
0,Staircase,58,0.4740349999628961,['q'],1,180,,0.9583333333333334,0,,0,30,Man,Right,
0,Staircase,59,0.46095109987072647,['e'],1,0,,0.7166666666666667,0,,0,30,Man,Right,
0,Staircase,60,0.4546031001955271,['e'],1,0,,0.9,0,,0,30,Man,Right,
0,Staircase,61,0.4208626998588443,['e'],1,0,,0.6583333333333333,0,,0,30,Man,Right,
0,Staircase,62,0.47513079992495477,['q'],1,180,,0.5583333333333333,0,,0,30,Man,Right,
0,Staircase,63,0.39674699981696904,['e'],1,0,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,64,0.414136900100857,['q'],1,180,,0.7583333333333333,0,,0,30,Man,Right,
0,Staircase,65,1.0152179999276996,['e'],1,0,,0.13333333333333333,0,,0,30,Man,Right,
0,Staircase,66,0.4443783999886364,['q'],1,180,,0.5166666666666667,0,,0,30,Man,Right,
0,Staircase,67,0.6897931001149118,['q'],1,180,,0.13333333333333333,0,,0,30,Man,Right,
0,Staircase,68,0.5051484000869095,['q'],0,0,,0.19166666666666668,0,,0,30,Man,Right,
0,Staircase,69,0.49322799989022315,['e'],1,0,,0.8416666666666667,0,,0,30,Man,Right,
0,Staircase,70,1.1054138999897987,['e'],1,0,,0.35,0,,0,30,Man,Right,
0,Staircase,71,0.5104636000469327,['e'],1,0,,0.6166666666666667,0,,0,30,Man,Right,
0,Staircase,72,0.7200668000150472,['e'],1,0,,0.9416666666666667,0,,0,30,Man,Right,
0,Staircase,73,0.636800300097093,['q'],1,180,,0.6333333333333333,0,,0,30,Man,Right,
0,Staircase,74,0.5811895001679659,['q'],1,180,,0.7,0,,0,30,Man,Right,
0,Staircase,75,1.0719712001737207,['e'],1,0,,0.06666666666666667,0,,0,30,Man,Right,
0,Staircase,76,0.7862374999094754,['e'],1,0,,0.19166666666666668,0,,0,30,Man,Right,
0,Staircase,77,0.45973729994148016,['q'],1,180,,0.7583333333333333,0,,0,30,Man,Right,
0,Staircase,78,0.44170950003899634,['e'],1,0,,0.2916666666666667,0,,0,30,Man,Right,
0,Staircase,79,0.4825736000202596,['e'],1,0,,0.4583333333333333,0,,0,30,Man,Right,
0,Staircase,80,0.7910492999944836,['e'],1,0,,0.008333333333333333,0,,0,30,Man,Right,
0,Staircase,81,0.5350967000704259,['q'],1,180,,0.375,0,,0,30,Man,Right,
0,Staircase,82,0.8989087000954896,['q'],1,180,,0.06666666666666667,0,,0,30,Man,Right,
