"Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Coherence","Condition","Training","Dataset","Correct","Correct_label","Difficulty"
"143",1,1,5,2.14967499999329,6.46588500007056,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,1.96094999997877,4.84799999999814,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,5,1.27012000000104,2.70909499982372,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,1.33239000011235,3.40604000003077,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,1.73077000002377,1.39615999977104,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,4,1.59791499981657,0.96964000002481,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,0,4,1.80450499989092,1.1626900001429,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",0,0,6,1.02622500015423,0.664410000201315,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,6,1.27068500011228,0.480130000039935,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,4,1.38540500006638,0.384350000182167,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,6,2.33628499996848,0.503164999885485,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,0,4,0.893150000134483,0.784794999985024,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",0,0,4,2.56532999989577,0.405729999998584,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,6,1.02395500009879,0.535090000135824,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,4,1.25502000004053,0.891554999863729,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.751034999964759,0.76361499982886,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,0,4,1.24367500003427,0.455064999870956,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,5,0.720955000026152,0.700074999826029,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,5,0.856739999959245,0.55798999988474,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,5,0.865985000040382,0.516850000014529,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,4,1.14788000006229,0.59525499981828,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,2.21218999987468,0.618819999974221,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.761884999927133,0.578750000102445,0.2,"speed",1,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,4,0.687314999988303,0.479634999996051,0.2,"speed",1,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,4,0.628250000067055,0.930239999899641,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,6,0.772159999934956,0.341814999934286,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,0.847124999854714,0.483344999840483,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,0,5,0.719909999985248,0.50404499983415,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,6,0.759139999980107,0.342785000102594,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.849954999983311,0.677050000056624,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,5,0.576780000003055,0.390145000070333,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,0.703580000204965,0.276524999877438,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.714189999969676,0.662229999899864,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,0.710590000031516,0.191494999919087,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.860395000083372,0.25254000001587,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,1.34997499990277,0.455995000200346,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,6,1.07327000005171,0.458689999999478,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,6,0.805244999937713,0.202159999869764,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,6,1.19857000000775,0.270534999901429,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,0.853839999996126,0.459924999857321,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,0.722390000009909,0.309849999845028,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,5,0.833145000040531,0.434184999903664,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,6,1.26554500008933,0.348745000082999,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,0.985610000090674,0.262325000017881,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,0,6,2.07711499999277,0.201639999868348,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
"143",1,1,4,1.50802000006661,0.847780000185594,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,4,1.10061999992467,0.410374999977648,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,5,0.950315000023693,0.399310000007972,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
"143",0,0,6,1.38389000017196,0.286130000138655,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,0,6,1.68896499997936,0.254515000153333,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
"143",0,0,6,1.12568499986082,0.202454999787733,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,5,2.67094499990344,1.24673000001349,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,1.1277499999851,0.19889000011608,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",1,1,6,2.95521000004373,0.441150000086054,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,0,5,1.94072499987669,0.528339999960735,0.2,"speed",0,"Desender_2022_Exp1",1,"Correct",NA
"143",0,1,5,0.971069999970496,0.511365000158548,0.2,"speed",0,"Desender_2022_Exp1",0,"Incorrect",NA
