Subj_idx,trial,condition,stimulus,response,confidence,rt,correct
1,1,3,1,1,0.888,9.39699345792178,1
1,2,3,2,1,0.51,10.0445379579905,0
1,3,2,1,2,0.693,3.05548474995885,0
1,4,1,2,2,0.518,18.9472722079372,1
1,5,3,1,1,0.702,4.63401425001211,1
1,6,2,2,2,0.627,9.04982087493408,1
1,7,2,2,1,0.604,3.6767113750102,0
1,8,2,2,1,0.509,25.5241677089361,0
1,9,1,1,2,0.691,7.42048025003169,0
1,10,2,1,1,0.895,3.86444237502292,1
1,11,1,1,1,0.713,38.3138737919508,1
1,12,2,2,1,0.633,3.00935545901302,0
1,13,1,1,2,0.574,2.92130008293316,0
1,14,2,1,2,0.528,2.86065566691104,0
1,15,2,1,2,0.716,12.1567384171067,0
1,16,3,2,1,0.599,1.97380229097325,0
1,17,2,2,2,0.805,2.52936520904768,1
1,18,3,1,1,0.686,2.08457170799375,1
1,19,3,2,1,0.712,1.64140650001355,0
1,20,1,1,2,0.783,2.4060305840103,0
1,21,3,1,1,0.836,2.4127819580026,1
1,22,1,2,2,0.845,2.28161687508691,1
1,23,1,1,1,0.714,1.69234529195819,1
1,24,3,2,2,0.753,2.13664566597436,1
1,25,1,2,2,0.76,1.2921447919216,1
1,26,1,2,1,0.85,1.81410920899361,0
1,27,2,1,1,0.823,2.35173679108266,1
1,28,1,1,1,0.822,1.36594383302145,1
1,29,1,2,2,0.836,2.23987179202959,1
1,30,1,1,2,0.626,2.31753175007179,0
1,31,3,1,1,0.667,1.45541233406402,1
1,32,3,2,2,0.62,2.27082220907323,1
1,33,1,2,2,0.581,1.51294470799621,1
1,34,1,2,2,0.757,1.60121545894071,1
1,35,2,2,2,0.639,2.16601066698786,1
1,36,1,2,2,0.7,3.19611900008749,1
1,37,3,2,1,0.612,5.48971291701309,0
1,38,1,1,2,0.639,1.88610866700765,0
1,39,2,1,2,0.702,2.03176887496375,0
1,40,3,1,1,0.694,1.83762895909604,1
1,41,1,2,2,0.771,10.0881642500171,1
1,42,1,1,1,0.654,1.765533833066,1
1,43,2,1,2,0.831,2.46659408393316,0
1,44,3,2,2,0.667,1.78646570793353,1
1,45,1,2,2,0.702,1.33233270794153,1
1,46,2,1,2,0.7,1.16330529097468,0
1,47,2,2,1,0.79,2.35623400006443,0
1,48,1,1,2,0.606,3.17529699997976,0
1,49,2,1,2,0.694,1.43876437505241,0
1,50,2,2,1,0.702,2.14633908402175,0
1,1,3,2,2,0.721,2.98480708396528,1
1,2,1,1,2,0.589,6.94904129207134,0
1,3,1,1,2,0.688,1.90286437503528,0
1,4,2,1,2,0.511,2.31943925004452,0
1,5,3,2,1,0.648,1.50386033405084,0
1,6,2,2,2,0.904,4.16198029194493,1
1,7,1,2,1,0.71,3.90717437502462,0
1,8,3,2,2,0.654,2.05539304204285,1
1,9,1,2,2,0.503,2.27011549996678,1
1,10,2,1,1,0.689,1.82845250004902,1
1,11,3,2,1,0.824,1.36361050000414,0
1,12,1,2,1,0.5,2.40486599993892,0
1,13,3,1,2,0.505,3.66686150000896,0
1,14,3,2,2,0.807,1.58323304099031,1
1,15,3,2,2,0.737,1.4491522499593,1
1,16,3,1,2,0.743,1.32536483299918,0
1,17,1,2,1,0.665,1.75981191592291,0
1,18,2,2,2,0.714,1.82071100000758,1
1,19,3,1,2,0.773,1.44953395798802,0
1,20,2,1,2,0.562,1.01234170806129,0
1,21,1,2,1,0.655,1.46372950007208,0
1,22,2,1,2,0.732,2.19186287501361,0
1,23,1,1,2,0.501,1.95191716705449,0
1,24,3,1,1,0.697,1.45664166600909,1
1,25,3,1,1,0.792,1.16980408306699,1
1,26,2,2,2,0.693,1.49582779197954,1
1,27,2,1,2,0.514,3.56682712503243,0
1,28,2,1,2,0.703,2.23094683303498,0
1,29,3,1,1,0.712,1.79255833406933,1
1,30,2,2,2,0.502,1.80189979204442,1
1,31,1,2,2,0.504,0.958769374992698,1
1,32,2,1,2,0.504,1.14335337502416,0
1,33,1,2,2,0.691,1.89899191702716,1
1,34,1,1,2,0.511,1.23217974998988,0
1,35,3,2,2,0.701,1.26200295903254,1
1,36,1,2,2,0.501,1.87650600005873,1
1,37,3,2,2,0.794,1.41905479098205,1
1,38,3,1,1,0.713,1.5855367500335,1
1,39,2,1,1,0.501,2.00557487504557,1
1,40,2,2,1,0.844,1.66013279207982,0
1,41,2,2,2,0.716,1.50879391701892,1
1,42,2,1,2,0.643,2.52508437505458,0
1,43,1,2,2,0.583,2.80611254193354,1
1,44,3,1,1,0.503,2.31345562497154,1
1,45,1,2,1,0.731,1.73418312496506,0
1,46,1,2,2,0.503,1.95547725004144,1
1,47,2,1,1,0.736,1.42435924999882,1
1,48,3,2,1,0.714,1.96082279202528,0
1,49,3,2,2,0.82,1.39772966608871,1
1,50,3,1,2,0.812,2.3926758330781,0
1,1,2,2,2,0.814,1.77497816598043,1
1,2,3,1,1,0.505,2.13161883305293,1
1,3,1,1,2,0.629,1.93857791693881,0
1,4,3,1,1,0.762,1.32423870800994,1
1,5,3,2,2,0.74,1.35272879200056,1
1,6,3,2,2,0.795,1.04400466696825,1
1,7,2,1,1,0.702,1.35973554197699,1
1,8,3,2,2,0.503,1.87773175002076,1
1,9,3,2,2,0.822,1.14003391703591,1
1,10,3,1,1,0.779,1.13744012499228,1
1,11,1,2,1,0.501,2.5045788330026,0
1,12,3,2,2,0.898,1.83957499999087,1
1,13,1,1,2,0.702,1.26109166594688,0
1,14,1,1,2,0.698,1.12592562497593,0
1,15,1,2,2,0.835,1.17812129098456,1
1,16,2,2,2,0.788,1.18310012493748,1
1,17,2,2,2,0.792,1.05178450001404,1
1,18,2,1,1,0.827,1.37621191598009,1
1,19,3,1,1,0.685,2.60940604191273,1
1,20,2,2,1,0.726,1.19613487494644,0
1,21,2,1,2,0.503,2.39234504196793,0
1,22,2,2,2,0.816,1.2753458339721,1
1,23,3,1,1,0.697,1.19828883302398,1
1,24,3,2,2,0.512,1.68683991697617,1
1,25,3,1,1,0.788,1.75799091695808,1
1,26,2,1,1,0.623,1.88535250001587,1
1,27,3,2,2,0.736,1.26026345801074,1
1,28,3,1,1,0.853,1.10960908303969,1
1,29,1,2,1,0.917,3.14602654206101,0
1,30,1,1,1,0.528,2.41291100007948,1
1,31,3,2,1,0.572,2.02824412495829,0
1,32,1,2,2,0.504,2.08385383302812,1
1,33,2,1,2,0.504,3.11959695792757,0
1,34,1,2,2,0.804,1.34770362498239,1
1,35,2,1,1,0.711,1.1292905829614,1
1,36,1,1,2,0.848,1.12681775004603,0
1,37,2,2,2,0.872,1.25906345900148,1
1,38,2,2,1,0.82,1.57499187497888,0
1,39,3,1,1,0.727,0.972303832997568,1
1,40,3,1,2,0.813,1.23807616601698,0
1,41,2,2,2,0.866,0.952523667016067,1
1,42,1,1,1,0.725,1.63912970898673,1
1,43,3,2,2,0.861,0.997588333091699,1
1,44,2,2,2,0.617,1.37561704101972,1
1,45,1,1,2,0.831,1.55165050004143,0
1,46,1,1,1,0.883,1.29726445802953,1
1,47,3,2,2,0.839,1.14800995902624,1
1,48,1,2,2,0.502,1.44133991701528,1
1,49,2,1,2,0.504,1.1473354579648,0
1,50,1,1,1,0.572,1.11866379098501,1
1,1,3,2,2,0.773,1.40152612503152,1
1,2,1,1,1,0.622,1.14262270904146,1
1,3,2,2,1,0.69,1.12644779204857,0
1,4,1,1,1,0.706,1.07971883297432,1
1,5,1,2,2,0.712,1.02282787498552,1
1,6,2,2,1,0.832,0.999200957943685,0
1,7,1,2,1,0.691,2.23316683294252,0
1,8,2,2,2,0.741,1.04178579209838,1
1,9,3,2,2,0.505,2.6260452499846,1
1,10,2,2,2,0.658,1.74810170894489,1
1,11,2,1,1,0.5,1.87937383307144,1
1,12,3,2,2,0.76,1.32205162500031,1
1,13,2,1,1,0.628,1.31981370795984,1
1,14,2,2,2,0.502,1.7905935839517,1
1,15,1,1,2,0.504,1.21919508394785,0
1,16,2,1,2,0.505,1.08749737497419,0
1,17,1,2,2,0.505,1.43150604190305,1
1,18,3,1,1,0.809,1.28628008300439,1
1,19,1,1,2,0.83,3.12334149994422,0
1,20,1,2,1,0.769,1.40049483301118,0
1,21,1,2,1,0.823,1.35934712504968,0
1,22,2,1,2,0.817,1.55144033394754,0
1,23,2,2,1,0.861,1.33664383401629,0
1,24,1,1,1,0.665,1.06100224994589,1
1,25,1,2,1,0.703,0.913904124987312,0
1,26,1,2,2,0.747,1.3905562920263,1
1,27,1,2,2,0.504,1.93420983408578,1
1,28,3,1,1,0.78,1.75834199995734,1
1,29,1,1,2,0.503,2.03494425001554,0
1,30,3,1,1,0.727,0.998319208039902,1
1,31,3,2,1,0.784,1.13421529205516,0
1,32,3,2,2,0.503,2.30563908291515,1
1,33,2,1,2,0.501,1.14927491697017,0
1,34,2,1,1,0.644,1.01592258294113,1
1,35,1,1,1,0.871,1.56004633300472,1
1,36,1,2,1,0.594,2.00611004210077,0
1,37,1,2,1,0.74,1.72982679097913,0
1,38,3,1,1,0.788,1.59249041706789,1
1,39,1,1,1,0.501,2.41273291700054,1
1,40,1,1,2,0.501,1.59261475002859,0
1,41,1,1,2,0.502,1.2539848749293,0
1,42,2,2,1,0.703,2.55593062506523,0
1,43,3,1,1,0.792,2.58014600002207,1
1,44,3,1,1,0.804,3.05370312498417,1
1,45,2,2,2,0.773,2.16286658297759,1
1,46,2,2,2,0.77,1.52674558304716,1
1,47,2,1,2,0.502,1.81551837502047,0
1,48,1,1,2,0.772,1.3819341249764,0
1,49,2,2,2,0.762,1.24028808402363,1
1,50,2,1,2,0.63,0.95136737509165,0
1,1,2,2,2,0.709,16.1197017079685,1
1,2,1,2,2,0.66,1.3867200409295,1
1,3,3,2,2,0.872,1.17723387503065,1
1,4,2,2,2,0.777,1.28023770800792,1
1,5,1,2,2,0.883,1.02782370802015,1
1,6,3,1,2,0.911,0.90649825008586,0
1,7,1,2,2,0.845,1.48829500004649,1
1,8,2,1,2,0.67,1.30277008400299,0
1,9,1,2,1,0.722,1.85996770905331,0
1,10,2,2,2,0.736,1.04437537502963,1
1,11,3,1,2,0.501,2.16315720800776,0
1,12,1,2,1,0.503,1.48437075002585,0
1,13,1,1,2,0.698,1.00529658305459,0
1,14,3,1,1,0.657,2.1287833750248,1
1,15,1,2,1,0.708,1.23838875000365,0
1,16,1,1,1,0.678,1.05282345891465,1
1,17,1,2,2,0.783,1.03231587505434,1
1,18,2,2,2,0.671,1.07213387498632,1
1,19,1,1,1,0.501,1.8024459159933,1
1,20,2,2,1,0.675,2.16777320893016,0
1,21,1,1,2,0.663,2.55626429093536,0
1,22,2,2,2,0.762,1.12563541694544,1
1,23,1,1,1,0.71,1.75249054108281,1
1,24,3,1,1,0.695,2.46427179197781,1
1,25,2,2,2,0.65,1.43756387499161,1
1,26,1,1,1,0.501,1.71826191595756,1
1,27,3,2,2,0.651,1.27366883296054,1
1,28,3,2,2,0.593,2.39983779098839,1
1,29,2,1,2,0.501,2.35822762502357,0
1,30,1,1,1,0.678,2.36228999996092,1
1,31,2,2,1,0.674,1.70194304105826,0
1,32,2,1,1,0.674,0.814258166938089,1
1,33,2,1,2,0.506,2.43146804207936,0
1,34,3,2,2,0.743,1.08789929200429,1
1,35,2,1,1,0.5,1.70900191704277,1
1,36,3,1,1,0.5,1.38171270804014,1
1,37,2,1,1,0.5,0.825130334007554,1
1,38,1,2,1,0.5,0.758338707964867,0
1,39,1,1,1,0.668,2.42755316605326,1
1,40,3,2,2,0.505,1.93724541598931,1
1,41,1,1,2,0.501,4.56902654189616,0
1,42,3,2,1,0.614,4.03596312494483,0
1,43,1,2,1,0.627,2.30882529099472,0
1,44,1,1,2,0.744,1.38861137488857,0
1,45,2,1,2,0.503,2.98062729195226,0
1,46,2,2,2,0.751,1.16038016695529,1
1,47,2,2,1,0.634,1.8392338330159,0
1,48,2,2,1,0.5,2.0173652919475,0
1,49,1,1,1,0.5,1.6486870830413,1
1,50,1,2,1,0.5,1.8850323749939,0
1,1,2,1,2,0.681,1.96287908300292,0
1,2,1,1,1,0.577,1.83438758307602,1
1,3,3,2,2,0.501,1.57608016696759,1
1,4,2,2,2,0.627,1.18263791699428,1
1,5,2,1,1,0.617,1.6007090419298,1
1,6,3,1,2,0.502,2.36509000009391,0
1,7,2,2,2,0.502,1.52088758302853,1
1,8,3,2,2,0.502,1.57249183405656,1
1,9,2,2,2,0.602,1.85316366702318,1
1,10,2,2,1,0.711,1.30275333300233,0
1,11,1,2,1,0.501,2.71222354203928,0
1,12,3,1,2,0.772,1.22881837491877,0
1,13,1,1,2,0.759,1.10416487499606,0
1,14,2,1,2,0.508,1.76971116708592,0
1,15,2,1,1,0.891,1.11701337492559,1
1,16,1,1,1,0.785,1.19373170798644,1
1,17,2,2,1,0.771,1.1043821250787,0
1,18,3,2,1,0.696,1.7272957500536,0
1,19,1,1,2,0.881,1.16802854207344,0
1,20,2,1,2,0.508,1.77475608407985,0
1,21,3,2,2,0.835,0.949883916997351,1
1,22,3,2,2,0.793,1.3061714170035,1
1,23,2,2,2,0.822,2.07080604205839,1
1,24,2,2,2,0.931,1.64882770809345,1
1,25,3,1,1,0.821,1.38879724999424,1
1,26,2,1,1,0.843,1.35755441710353,1
1,27,2,1,1,0.682,1.07967383298092,1
1,28,1,1,2,0.836,1.38689025002532,0
1,29,1,2,2,0.691,2.65783716598526,1
1,30,3,2,2,0.762,1.43843312503304,1
1,31,2,2,2,0.577,1.63872229098342,1
1,32,3,2,2,0.83,1.11244574992452,1
1,33,2,1,1,0.782,1.31962079100776,1
1,34,1,2,2,0.547,1.33836208400317,1
1,35,2,2,2,0.595,1.52304154098965,1
1,36,3,1,1,0.59,3.53516816697083,1
1,37,1,1,1,0.782,1.19076799997129,1
1,38,1,2,1,0.726,1.26265966694336,0
1,39,2,1,1,0.808,1.4181857079966,1
1,40,2,2,2,0.954,1.59110216598492,1
1,41,3,2,2,0.861,0.90728095790837,1
1,42,1,2,1,0.744,1.25060554104857,0
1,43,1,1,1,0.741,1.67829783295747,1
1,44,1,1,2,0.723,1.29930329101626,0
1,45,2,2,1,0.974,1.11895375000313,0
1,46,2,1,1,0.76,1.4639540000353,1
1,47,1,1,2,0.714,1.06296083307825,0
1,48,1,2,2,0.502,1.96327175002079,1
1,49,2,1,2,0.724,1.22919195902068,0
1,50,3,1,1,0.705,1.02222116698977,1
1,1,3,1,2,0.741,2.14259616704658,0
1,2,2,2,1,0.811,1.77687025000341,0
1,3,3,1,1,0.828,0.992438832996413,1
1,4,2,2,2,0.675,0.836872500018217,1
1,5,2,2,2,0.508,1.70019287499599,1
1,6,3,2,2,0.734,0.940526208956726,1
1,7,3,1,1,0.5,2.23700825008564,1
1,8,3,2,2,0.718,1.10987966693938,1
1,9,2,2,2,0.718,0.670460291905329,1
1,10,1,2,1,0.66,1.62759225000627,0
1,11,2,2,1,0.626,1.33709612500388,0
1,12,1,2,2,0.807,0.935864792088978,1
1,13,1,2,1,0.564,1.12869150005281,0
1,14,1,2,2,0.628,1.02894625009503,1
1,15,3,2,2,0.82,1.06546520802658,1
1,16,3,2,2,0.742,0.913967040949501,1
1,17,1,1,1,0.571,1.12625170801766,1
1,18,1,1,2,0.625,0.85401629190892,0
1,19,1,2,2,0.544,1.62208741600625,1
1,20,3,1,1,0.658,0.98154629196506,1
1,21,1,2,1,0.702,1.1266017499147,0
1,22,2,1,1,0.657,1.39221087493934,1
1,23,1,2,2,0.687,1.34137154195923,1
1,24,2,1,1,0.758,0.991196500021033,1
1,25,2,2,2,0.501,1.93172987503931,1
1,26,2,1,1,0.809,0.821588541031815,1
1,27,1,1,1,0.772,1.03175524994731,1
1,28,1,2,2,0.746,1.19263445900287,1
1,29,2,1,2,0.859,0.967601625015959,0
1,30,1,1,1,0.696,1.17870883294381,1
1,31,2,1,1,0.887,0.951566666015424,1
1,32,1,1,2,0.597,1.36229212500621,0
1,33,2,1,1,0.677,1.21371570799965,1
1,34,2,1,1,0.743,0.849246499943547,1
1,35,2,1,1,0.772,1.01463570795022,1
1,36,3,2,2,0.744,1.51771495805588,1
1,37,3,1,1,0.683,2.98241708299611,1
1,38,1,2,2,0.895,1.19665887497831,1
1,39,1,2,1,0.501,2.33689200005028,0
1,40,2,2,2,0.673,1.01389520801604,1
1,41,1,1,1,0.745,1.05790345894638,1
1,42,1,2,2,0.657,1.95058654202148,1
1,43,2,1,1,0.768,1.31373787496705,1
1,44,1,1,1,0.867,0.966473125037737,1
1,45,1,2,2,0.841,0.968182708020322,1
1,46,2,2,2,0.63,1.24171125004068,1
1,47,3,2,1,0.847,1.00405312492512,0
1,48,2,2,2,0.817,1.07154508307576,1
1,49,2,1,1,0.84,1.18048720899969,1
1,50,3,2,2,0.785,1.36791537504178,1
1,1,1,1,1,0.61,1.90021629200783,1
1,2,3,2,2,0.788,0.790979249984957,1
1,3,2,2,2,0.841,0.616051499964669,1
1,4,2,1,1,0.821,0.962724082986824,1
1,5,3,2,2,0.893,0.801605958957225,1
1,6,1,1,2,0.642,1.03226887492929,0
